kyr,RSL
-15,  -97.658
-14.6929,  -96.3197
-14.5866,  -94.3123
-14.374,  -94.9814
-13.6181,  -71.8959
-13.0984,  -67.2119
-12.874,  -64.5353
-12.7795,  -62.1933
-12.248,  -59.5167
-11.9882,  -58.8476
-11.5039,  -55.8364
-11.3858,  -53.829
-11.3622,  -54.4981
-11.0669,  -41.7844
-10.9134,  -40.1115
-10.5591,  -38.7732
-10.0866,  -34.4238
-9.87402,  -31.0781
-9.70866,  -30.4089
-9.24803,  -26.0595
-9.07087,  -22.0446
-9,  -21.71
